주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
405-2-000214,아라동 무료 주차장,공영,노외,제주특별자치도 제주시 아라1동6128-3,제주특별자치도 제주시 아라1동6128-4,24,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000213,아라동 무료 주차장,공영,노외,제주특별자치도 제주시 아라1동6122,제주특별자치도 제주시 아라1동6123,34,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000091,외도동 무료 주차장,공영,노외,제주특별자치도 제주시 외도1동559-0,제주특별자치도 제주시 외도1동559-1,54,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000090,외도동 무료 주차장,공영,노외,제주특별자치도 제주시 외도1동542-17,제주특별자치도 제주시 외도1동542-18,23,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000089,외도동 무료 주차장,공영,노외,제주특별자치도 제주시 외도1동530-3,제주특별자치도 제주시 외도1동530-4,48,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000088,외도동 무료 주차장,공영,노외,제주특별자치도 제주시 외도1동497-15,제주특별자치도 제주시 외도1동497-16,11,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000087,외도동 무료 주차장,공영,노외,제주특별자치도 제주시 외도1동496-16,제주특별자치도 제주시 외도1동496-17,31,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000086,외도동 무료 주차장,공영,노외,제주특별자치도 제주시 외도1동493-0,제주특별자치도 제주시 외도1동493-1,39,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000085,외도동 무료 주차장,공영,노외,제주특별자치도 제주시 외도1동482-0,제주특별자치도 제주시 외도1동482-1,44,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000084,외도동 무료 주차장,공영,노외,제주특별자치도 제주시 외도1동453-0,제주특별자치도 제주시 외도1동453-1,43,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000083,외도동 무료 주차장,공영,노외,제주특별자치도 제주시 외도1동448-2,제주특별자치도 제주시 외도1동448-3,59,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000082,외도동 무료 주차장,공영,노외,제주특별자치도 제주시 외도1동440-6,제주특별자치도 제주시 외도1동440-7,50,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000081,외도동 무료 주차장,공영,노외,제주특별자치도 제주시 외도1동417-5,제주특별자치도 제주시 외도1동417-6,42,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000080,일도이동 무료 주차장,공영,노외,제주특별자치도 제주시 일도2동878,제주특별자치도 제주시 일도2동879,44,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000079,일도이동 무료 주차장,공영,노외,제주특별자치도 제주시 일도2동82-7,제주특별자치도 제주시 일도2동82-8,49,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000078,연동 무료 주차장,공영,노외,제주특별자치도 제주시 연동2303-10,제주특별자치도 제주시 연동2303-11,7,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000077,연동 무료 주차장,공영,노외,제주특별자치도 제주시 연동2305-6,제주특별자치도 제주시 연동2305-7,38,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000076,연동 무료 주차장,공영,노외,제주특별자치도 제주시 연동1957-0,제주특별자치도 제주시 연동1957-1,4,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000075,연동 무료 주차장,공영,노외,제주특별자치도 제주시 연동1519-1,제주특별자치도 제주시 연동1519-2,40,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000074,연동 무료 주차장,공영,노외,제주특별자치도 제주시 연동1517,제주특별자치도 제주시 연동1517,28,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000073,연동 무료 주차장,공영,노외,제주특별자치도 제주시 연동1504,제주특별자치도 제주시 연동1504,18,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000072,연동 무료 주차장,공영,노외,제주특별자치도 제주시 연동1499,제주특별자치도 제주시 연동1499,28,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000071,연동 무료 주차장,공영,노외,제주특별자치도 제주시 연동1458-1,제주특별자치도 제주시 연동1458-2,26,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000070,연동 무료 주차장,공영,노외,제주특별자치도 제주시 연동299-12,제주특별자치도 제주시 연동299-13,33,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000069,용담일동 무료 주차장,공영,노외,제주특별자치도 제주시 용담1동220-16,제주특별자치도 제주시 용담1동220-16,5,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000068,용담일동 무료 주차장,공영,노외,제주특별자치도 제주시 용담1동220-10,제주특별자치도 제주시 용담1동220-10,4,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000067,용담일동 무료 주차장,공영,노외,제주특별자치도 제주시 용담1동295-40,"제주특별자치도 제주시 용담1동295-40,295-49",8,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000212,아라동 무료 주차장,공영,노외,제주특별자치도 제주시 아라1동6114-4,제주특별자치도 제주시 아라1동6114-5,36,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000211,아라동 무료 주차장,공영,노외,제주특별자치도 제주시 아라1동6110,제주특별자치도 제주시 아라1동6111,43,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000210,아라동 무료 주차장,공영,노외,제주특별자치도 제주시 아라1동6106-2,제주특별자치도 제주시 아라1동6106-3,28,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000209,아라동 무료 주차장,공영,노외,제주특별자치도 제주시 아라1동6093-3,제주특별자치도 제주시 아라1동6093-4,35,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000208,아라동 무료 주차장,공영,노외,제주특별자치도 제주시 아라1동6096,제주특별자치도 제주시 아라1동6096,31,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000207,아라동 무료 주차장,공영,노외,제주특별자치도 제주시 아라1동6059,제주특별자치도 제주시 아라1동6059,19,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000206,아라동 무료 주차장,공영,노외,제주특별자치도 제주시 아라1동6051-3,제주특별자치도 제주시 아라1동6051-4,20,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000205,아라동 무료 주차장,공영,노외,제주특별자치도 제주시 아라1동6046-4,제주특별자치도 제주시 아라1동6046-5,33,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000204,노형동 무료 주차장,공영,노외,제주특별자치도 제주시 노형동3812-2,제주특별자치도 제주시 노형동3812-3,49,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000203,노형동 무료 주차장,공영,노외,제주특별자치도 제주시 노형동3800-5,제주특별자치도 제주시 노형동3800-6,65,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000202,노형동 무료 주차장,공영,노외,제주특별자치도 제주시 노형동3803-5,제주특별자치도 제주시 노형동3803-6,53,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000201,노형동 무료 주차장,공영,노외,제주특별자치도 제주시 노형동3793,제주특별자치도 제주시 노형동3793,57,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000200,노형동 무료 주차장,공영,노외,제주특별자치도 제주시 노형동3782,제주특별자치도 제주시 노형동3782,64,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000199,삼도일동 무료 주차장,공영,노외,제주특별자치도 제주시 삼도1동508-13,"제주특별자치도 제주시 삼도1동508-13,4",36,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000198,용담이동 무료 주차장,공영,노외,제주특별자치도 제주시 용담2동2745-9,제주특별자치도 제주시 용담2동2745-10,32,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000197,이도이동 무료 주차장,공영,노외,제주특별자치도 제주시 이도2동1063-11,제주특별자치도 제주시 이도2동1063-12,7,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000196,일도이동 무료 주차장,공영,노외,제주특별자치도 제주시 일도2동1020-0,제주특별자치도 제주시 일도2동1020-1,7,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000195,일도이동 무료 주차장,공영,노외,제주특별자치도 제주시 일도2동1029-98,제주특별자치도 제주시 일도2동1029-99,9,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000194,화북동 무료 주차장,공영,노외,제주특별자치도 제주시 화북1동1936-6,제주특별자치도 제주시 화북1동1936-7,23,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000193,용담이동 무료 주차장,공영,노외,제주특별자치도 제주시 용담2동1690,제주특별자치도 제주시 용담2동1691,33,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000192,일도이동 무료 주차장,공영,노외,제주특별자치도 제주시 일도2동88-0,제주특별자치도 제주시 일도2동88-1,24,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000191,이도이동 무료 주차장,공영,노외,제주특별자치도 제주시 이도2동374,제주특별자치도 제주시 이도2동375,25,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000190,건입동 무료 주차장,공영,노외,제주특별자치도 제주시 건입동1277-1,제주특별자치도 제주시 건입동1277-2,9,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
405-2-000189,용담일동 무료 주차장,공영,노외,제주특별자치도 제주시 용담1동262-12,제주특별자치도 제주시 용담1동262-13,11,1,미시행,평일+토요일+공휴일,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,24:00:00,무료,0,0,0,0,,,,,,차량관리과,,,,2017-07-31
